,country,people_vaccinated
0,Afghanistan,54000.0
1,Albania,6073.0
2,Algeria,
3,Andorra,7098.0
4,Angola,87022.0
5,Anguilla,5348.0
6,Antigua and Barbuda,
7,Argentina,2908932.0
8,Australia,159294.0
9,Austria,1095782.0
10,Azerbaijan,510420.0
11,Bahamas,110.0
12,Bahrain,478094.0
13,Bangladesh,5139456.0
14,Barbados,62765.0
15,Belarus,20944.0
16,Belgium,1201488.0
17,Belize,18182.0
18,Bermuda,21049.0
19,Bolivia,174799.0
20,Brazil,13487207.0
21,Bulgaria,346392.0
22,Cambodia,229079.0
23,Canada,4304842.0
24,Cayman Islands,28605.0
25,Chile,6386738.0
26,China,
27,Colombia,1448180.0
28,Costa Rica,213404.0
29,Cote d'Ivoire,31104.0
30,Croatia,335916.0
31,Cyprus,93475.0
32,Czechia,1121007.0
33,Denmark,670795.0
34,Dominica,13565.0
35,Dominican Republic,800000.0
36,Ecuador,152526.0
37,Egypt,
38,El Salvador,49000.0
39,England,25284013.0
40,Equatorial Guinea,5765.0
41,Estonia,191723.0
42,Faeroe Islands,5853.0
43,Falkland Islands,1732.0
44,Finland,832602.0
45,France,7550454.0
46,Germany,8595379.0
47,Ghana,420000.0
48,Gibraltar,30944.0
49,Greece,1055744.0
50,Greenland,3927.0
51,Grenada,8606.0
52,Guatemala,91918.0
53,Guernsey,21500.0
54,Guinea,
55,Guyana,15524.0
56,Honduras,43073.0
57,Hong Kong,437200.0
58,Hungary,1903498.0
59,Iceland,39633.0
60,India,51441436.0
61,Indonesia,7190663.0
62,Iran,10000.0
63,Ireland,529984.0
64,Isle of Man,21996.0
65,Israel,5219394.0
66,Italy,6290823.0
67,Jamaica,16096.0
68,Japan,781665.0
69,Jersey,43136.0
70,Jordan,251197.0
71,Kazakhstan,90748.0
72,Kenya,64100.0
73,Kuwait,500000.0
74,Laos,40732.0
75,Latvia,104379.0
76,Lebanon,111517.0
77,Liechtenstein,
78,Lithuania,324250.0
79,Luxembourg,62812.0
80,Macao,44908.0
81,Malawi,90107.0
82,Malaysia,443124.0
83,Maldives,
84,Malta,121823.0
85,Mauritius,3843.0
86,Mexico,5901505.0
87,Moldova,33885.0
88,Monaco,9750.0
89,Mongolia,
90,Montenegro,14850.0
91,Montserrat,892.0
92,Morocco,4302183.0
93,Mozambique,46439.0
94,Myanmar,380000.0
95,Namibia,152.0
96,Nepal,
97,Netherlands,1492489.0
98,New Zealand,41500.0
99,Nigeria,277458.0
100,North Macedonia,5300.0
101,Northern Cyprus,53886.0
102,Northern Ireland,719260.0
103,Norway,595899.0
104,Oman,110179.0
105,Pakistan,72882.0
106,Panama,
107,Paraguay,27212.0
108,Peru,534713.0
109,Philippines,508332.0
110,Poland,3785646.0
111,Portugal,1068361.0
112,Qatar,100000.0
113,Romania,1887031.0
114,Russia,6300000.0
115,Rwanda,348926.0
116,Saint Helena,3107.0
117,Saint Kitts and Nevis,7580.0
118,Saint Lucia,20247.0
119,Saint Vincent and the Grenadines,
120,San Marino,8633.0
121,Saudi Arabia,
122,Scotland,2358807.0
123,Senegal,225309.0
124,Serbia,1366442.0
125,Seychelles,63132.0
126,Sierra Leone,10673.0
127,Singapore,799000.0
128,Slovakia,615393.0
129,Slovenia,191217.0
130,South Africa,231605.0
131,South Korea,793858.0
132,Spain,4561529.0
133,Sri Lanka,884164.0
134,Suriname,22377.0
135,Sweden,1034547.0
136,Switzerland,837924.0
137,Taiwan,9232.0
138,Thailand,96188.0
139,Togo,42092.0
140,Trinidad and Tobago,991.0
141,Tunisia,38853.0
142,Turkey,8217124.0
143,Turks and Caicos Islands,11283.0
144,Uganda,46664.0
145,Ukraine,192263.0
146,United Arab Emirates,3480415.0
147,United Kingdom,29727435.0
148,United States,91707729.0
149,Uruguay,509672.0
150,Venezuela,12194.0
151,Vietnam,44000.0
152,Wales,1365355.0
153,Zimbabwe,65466.0
